Timestamp,xAcel_L,yAcel_L,zAcel_L,xGyro_L,yGyro_L,zGyro_L,xMag_L,yMag_L,zMag_L,xAcel_R,yAcel_R,zAcel_R,xGyro_R,yGyro_R,zGyro_R,xMag_R,yMag_R,zMag_R
2024-11-17 20:17:00.981,0.01,-0.49,-0.90,1.89,0.12,0.73,17.04,-3.14,-18.05,0.07,-0.81,-0.61,4.52,1.22,1.10,21.85,-6.08,5.18
2024-11-17 20:17:01.287,0.01,-0.49,-0.90,2.08,-0.18,0.61,16.69,-2.81,-17.92,0.07,-0.81,-0.61,4.46,1.28,0.85,21.44,-5.46,5.66
2024-11-17 20:17:01.493,0.01,-0.49,-0.90,2.08,0.18,0.92,16.67,-2.53,-18.19,0.06,-0.81,-0.61,4.46,1.16,1.16,21.35,-5.68,5.13
2024-11-17 20:17:01.699,0.01,-0.49,-0.90,1.95,0.00,0.85,16.08,-3.26,-17.47,0.06,-0.81,-0.61,4.21,1.34,0.92,21.55,-5.43,6.35
2024-11-17 20:17:01.004,0.01,-0.49,-0.90,2.26,-0.12,0.73,16.54,-2.47,-18.30,0.07,-0.81,-0.61,4.27,1.16,0.98,21.62,-5.25,5.69
2024-11-17 20:17:02.310,0.01,-0.50,-0.90,1.71,-0.12,0.92,16.96,-2.77,-18.20,0.06,-0.81,-0.61,4.09,1.28,0.92,22.18,-5.68,5.46
2024-11-17 20:17:02.516,0.01,-0.49,-0.90,2.20,0.06,0.67,16.33,-2.58,-18.62,0.06,-0.81,-0.60,4.21,1.28,1.04,21.45,-5.68,5.40
2024-11-17 20:17:02.721,0.01,-0.49,-0.89,2.01,0.00,0.98,17.13,-2.76,-18.31,0.06,-0.81,-0.61,4.46,1.22,0.92,21.39,-5.77,5.44
