Timestamp,xAcel_L,yAcel_L,zAcel_L,xGyro_L,yGyro_L,zGyro_L,xMag_L,yMag_L,zMag_L,xAcel_R,yAcel_R,zAcel_R,xGyro_R,yGyro_R,zGyro_R,xMag_R,yMag_R,zMag_R
2024-11-17 20:34:55.449,0.00,-0.50,-0.89,2.26,0.12,0.92,17.47,-1.98,-18.43,0.08,-0.86,-0.54,4.58,1.34,1.04,21.42,-5.70,6.15
2024-11-17 20:34:55.654,0.00,-0.50,-0.89,2.20,0.00,0.85,17.24,-2.64,-18.31,0.08,-0.86,-0.54,4.52,1.34,0.85,21.37,-6.08,5.86
2024-11-17 20:34:55.960,0.00,-0.50,-0.89,2.20,0.06,0.73,17.68,-2.21,-18.14,0.08,-0.85,-0.54,4.64,1.53,1.16,21.30,-5.57,5.83
2024-11-17 20:34:56.266,0.00,-0.50,-0.89,2.20,0.06,0.55,17.42,-2.55,-18.04,0.08,-0.86,-0.54,4.76,1.46,0.92,21.40,-5.93,5.76
2024-11-17 20:34:56.472,0.00,-0.50,-0.89,2.26,-0.06,0.79,17.46,-2.39,-19.95,0.08,-0.86,-0.54,4.21,1.34,0.98,21.28,-6.14,6.34
2024-11-17 20:34:56.677,0.00,-0.50,-0.89,2.20,0.06,0.73,17.42,-1.88,-18.49,0.08,-0.85,-0.55,4.82,1.40,0.98,21.48,-5.69,5.99
2024-11-17 20:34:56.983,0.00,-0.50,-0.89,2.01,-0.06,0.73,17.53,-2.60,-17.87,0.08,-0.86,-0.54,4.46,1.28,1.04,21.53,-6.38,5.47
2024-11-17 20:34:57.188,0.00,-0.50,-0.89,2.08,-0.06,0.85,17.70,-2.34,-18.33,0.08,-0.85,-0.54,4.76,1.34,1.22,20.58,-6.05,6.71
2024-11-17 20:34:57.494,0.00,-0.50,-0.89,2.20,-0.06,0.85,17.80,-1.79,-18.10,0.08,-0.86,-0.54,4.82,1.40,1.10,21.50,-5.94,6.10
2024-11-17 20:34:57.699,0.00,-0.50,-0.89,2.26,0.12,0.85,16.89,-2.01,-18.52,0.08,-0.85,-0.54,4.76,1.34,1.10,21.11,-6.45,5.87
2024-11-17 20:34:57.005,0.00,-0.50,-0.89,2.08,-0.24,0.85,17.11,-2.29,-17.92,0.08,-0.85,-0.54,4.94,1.65,1.16,21.63,-5.91,6.41
2024-11-17 20:34:58.211,0.00,-0.50,-0.89,2.32,0.06,0.73,17.15,-2.14,-18.08,0.08,-0.85,-0.54,4.58,1.53,1.10,20.92,-5.87,6.42
2024-11-17 20:34:58.416,0.00,-0.50,-0.89,2.26,-0.06,0.73,17.15,-2.42,-17.98,0.08,-0.86,-0.54,5.00,1.46,1.04,21.53,-6.20,5.83
2024-11-17 20:34:58.722,0.00,-0.50,-0.89,2.20,0.06,0.61,17.52,-2.11,-18.69,0.08,-0.86,-0.54,5.00,1.53,0.98,21.73,-6.10,6.97
2024-11-17 20:34:58.931,0.00,-0.50,-0.89,2.20,0.12,0.73,16.99,-2.77,-18.53,0.08,-0.86,-0.54,4.82,1.53,0.98,21.29,-5.88,6.58
2024-11-17 20:34:59.236,0.00,-0.50,-0.89,2.20,0.00,0.73,17.44,-2.34,-18.14,0.08,-0.85,-0.54,4.94,1.46,0.92,21.63,-5.79,6.29
2024-11-17 20:34:59.442,0.00,-0.50,-0.89,2.08,0.06,0.73,17.33,-1.89,-17.55,0.08,-0.85,-0.54,4.76,1.40,1.16,21.01,-6.10,6.62
2024-11-17 20:34:59.747,0.00,-0.50,-0.89,2.32,0.00,0.92,17.80,-2.04,-18.60,0.08,-0.85,-0.54,4.88,1.53,1.04,20.98,-6.32,5.66
2024-11-17 20:34:59.953,0.00,-0.50,-0.89,2.32,0.00,0.73,17.69,-2.65,-18.60,0.08,-0.85,-0.54,4.88,1.53,0.92,21.44,-6.15,7.24
2024-11-17 20:35:00.283,0.00,-0.50,-0.89,2.08,0.18,0.92,17.91,-2.08,-18.55,0.08,-0.85,-0.54,4.76,1.34,0.92,21.12,-6.30,6.92
2024-11-17 20:35:00.488,0.00,-0.50,-0.89,2.14,-0.06,0.67,18.18,-2.53,-18.91,0.08,-0.85,-0.54,4.70,1.34,1.10,21.67,-6.30,7.51
