Timestamp,xAcel_L,yAcel_L,zAcel_L,xGyro_L,yGyro_L,zGyro_L,xMag_L,yMag_L,zMag_L,xAcel_R,yAcel_R,zAcel_R,xGyro_R,yGyro_R,zGyro_R,xMag_R,yMag_R,zMag_R
2024-11-17 20:34:22.432,0.00,-0.50,-0.89,2.08,0.06,0.73,17.65,-1.90,-18.64,0.08,-0.86,-0.54,4.58,1.53,1.04,21.44,-6.41,5.66
2024-11-17 20:34:22.638,0.00,-0.50,-0.89,2.20,-0.18,0.73,16.96,-2.19,-17.99,0.08,-0.86,-0.54,4.58,1.34,1.10,21.77,-6.07,9.35
2024-11-17 20:34:22.946,0.00,-0.50,-0.89,2.32,-0.12,0.73,17.36,-2.34,-18.38,0.08,-0.86,-0.54,4.76,1.53,1.04,21.81,-6.20,5.88
2024-11-17 20:34:23.151,0.00,-0.50,-0.89,2.14,0.00,0.79,17.54,-2.33,-18.84,0.08,-0.86,-0.54,4.88,1.46,0.92,21.03,-5.62,6.18
2024-11-17 20:34:23.457,0.00,-0.50,-0.89,2.14,0.00,0.79,17.94,-1.81,-18.38,0.08,-0.86,-0.54,5.00,1.59,0.85,21.92,-5.37,7.20
2024-11-17 20:34:23.663,0.00,-0.50,-0.89,2.26,-0.06,0.79,17.53,-2.15,-18.85,0.08,-0.85,-0.54,4.76,1.40,0.85,21.55,-5.71,5.30
2024-11-17 20:34:23.968,0.00,-0.50,-0.89,2.14,0.12,0.79,17.22,-1.97,-18.47,0.08,-0.86,-0.54,4.94,1.28,0.98,21.90,-6.32,6.27
2024-11-17 20:34:24.174,0.00,-0.50,-0.89,2.08,0.00,0.67,17.88,-2.22,-17.26,0.08,-0.85,-0.54,4.64,1.40,0.98,21.52,-5.86,6.81
2024-11-17 20:34:24.480,0.00,-0.50,-0.89,2.26,0.12,0.73,17.86,-2.22,-18.37,0.08,-0.85,-0.54,4.58,1.34,1.04,21.77,-5.65,8.24
2024-11-17 20:34:24.685,0.00,-0.50,-0.89,2.20,-0.12,0.79,17.48,-1.95,-16.96,0.08,-0.86,-0.54,4.82,1.28,1.10,21.41,-6.02,7.28
2024-11-17 20:34:24.891,0.00,-0.50,-0.89,2.14,0.06,0.85,17.66,-1.99,-18.75,0.08,-0.86,-0.54,4.64,1.53,0.92,21.48,-6.13,6.82
2024-11-17 20:34:25.197,0.00,-0.50,-0.89,2.08,0.00,0.61,17.43,-2.00,-19.40,0.08,-0.85,-0.54,4.82,1.46,0.92,21.81,-6.14,6.76
2024-11-17 20:34:25.402,0.00,-0.50,-0.89,2.26,0.06,0.61,17.44,-1.82,-18.19,0.08,-0.85,-0.54,4.76,1.46,1.10,21.40,-6.34,7.48
2024-11-17 20:34:25.708,0.00,-0.50,-0.89,2.08,0.00,0.92,17.64,-1.71,-17.52,0.08,-0.86,-0.54,4.76,1.53,0.98,21.28,-5.86,7.02
2024-11-17 20:34:25.914,0.00,-0.50,-0.89,2.08,0.00,0.67,18.03,-1.89,-18.53,0.08,-0.86,-0.54,4.64,1.53,1.04,21.36,-6.20,6.81
2024-11-17 20:34:26.222,0.00,-0.50,-0.89,2.20,0.00,0.85,17.36,-2.45,-18.15,0.08,-0.86,-0.54,4.76,1.34,1.10,21.20,-5.80,7.43
2024-11-17 20:34:26.429,0.00,-0.50,-0.89,2.20,0.00,0.85,17.58,-2.14,-18.12,0.08,-0.86,-0.54,4.64,1.34,1.10,21.51,-6.09,6.47
2024-11-17 20:34:26.739,0.00,-0.50,-0.89,2.14,0.12,0.79,17.52,-2.00,-17.79,0.08,-0.86,-0.54,4.70,1.53,0.98,21.35,-5.82,6.70
2024-11-17 20:34:26.944,0.00,-0.50,-0.89,2.20,0.12,0.73,17.97,-2.22,-18.01,0.08,-0.86,-0.54,4.82,1.22,0.98,21.51,-6.57,7.08
2024-11-17 20:34:27.251,0.00,-0.50,-0.89,2.26,0.06,0.61,18.19,-1.84,-18.53,0.08,-0.86,-0.54,4.70,1.34,1.04,21.00,-6.23,6.54
2024-11-17 20:34:27.478,0.00,-0.50,-0.89,2.20,0.00,0.73,17.31,-2.05,-19.02,0.08,-0.85,-0.54,4.70,1.46,1.10,21.30,-6.18,6.25
2024-11-17 20:34:27.683,0.00,-0.50,-0.89,2.08,-0.06,0.79,17.64,-1.53,-18.38,0.08,-0.86,-0.54,4.64,1.53,1.04,21.77,-6.32,6.37
2024-11-17 20:34:27.889,0.00,-0.50,-0.89,2.14,0.00,0.79,17.61,-2.31,-18.42,0.08,-0.85,-0.54,4.70,1.46,1.04,22.16,-6.19,6.98
