id,timestamp,x_acel_l,y_acel_l,z_acel_l,x_gyro_l,y_gyro_l,z_gyro_l,x_mag_l,y_mag_l,z_mag_l,x_acel_r,y_acel_r,z_acel_r,x_gyro_r,y_gyro_r,z_gyro_r,x_mag_r,y_mag_r,z_mag_r
1,2024-11-30 20:45:51.543,0.02,-1.0,0.05,1.95,-0.18,0.55,-23.34,-40.39,13.2,0.01,-1.01,-0.11,4.33,1.16,0.79,-3.71,-34.56,10.08
2,2024-11-30 20:45:51.770,0.02,-1.0,0.05,2.08,-0.37,0.67,-22.88,-40.54,13.96,0.01,-1.01,-0.11,4.15,1.1,0.79,-3.67,-34.53,9.22
3,2024-11-30 20:45:51.976,0.02,-1.0,0.05,2.01,-0.31,0.67,-23.06,-40.56,12.19,0.01,-1.01,-0.11,4.33,1.04,0.79,-3.26,-34.34,9.79
4,2024-11-30 20:45:52.282,0.02,-1.0,0.05,1.71,-0.31,0.67,-23.23,-40.87,13.07,0.01,-1.01,-0.11,4.21,1.1,0.92,-4.02,-34.41,8.86
5,2024-11-30 20:45:52.514,0.02,-1.0,0.05,1.95,-0.31,0.79,-23.29,-40.49,13.67,0.01,-1.01,-0.11,4.15,1.1,0.79,-3.5,-34.05,9.69
6,2024-11-30 20:45:52.721,0.02,-1.0,0.05,2.01,-0.43,0.67,-23.02,-40.59,13.43,0.01,-1.01,-0.11,4.33,1.1,0.79,-4.32,-34.17,9.38
7,2024-11-30 20:45:53.028,0.02,-1.0,0.05,2.14,-0.24,0.49,-23.67,-40.92,12.94,0.01,-1.01,-0.1,4.21,1.1,0.79,-4.13,-34.2,9.75
8,2024-11-30 20:45:53.234,0.02,-1.0,0.05,1.89,-0.18,0.67,-23.14,-40.76,13.99,0.01,-1.01,-0.11,3.91,0.92,0.73,-3.7,-34.31,9.0
9,2024-11-30 20:45:53.550,0.02,-1.0,0.05,2.01,-0.24,0.49,-23.28,-40.1,13.22,0.01,-1.01,-0.1,4.33,0.98,0.79,-2.99,-34.25,10.8
10,2024-11-30 20:45:53.756,0.02,-1.0,0.05,2.14,-0.12,0.43,-23.39,-40.34,13.76,0.01,-1.01,-0.1,4.21,0.92,0.92,-3.59,-33.79,9.88
11,2024-11-30 20:45:53.962,0.02,-1.0,0.05,2.14,-0.06,0.49,-23.36,-40.2,14.27,0.01,-1.01,-0.11,4.09,1.04,0.73,-4.09,-34.2,9.53
12,2024-11-30 20:45:54.269,0.02,-1.0,0.05,1.95,-0.18,0.55,-23.43,-40.11,14.29,0.01,-1.01,-0.11,4.21,1.04,0.79,-4.05,-34.53,8.95
13,2024-11-30 20:45:54.475,0.02,-1.0,0.05,2.2,-0.31,0.67,-23.55,-40.3,14.43,0.01,-1.01,-0.11,4.09,1.1,0.79,-4.1,-33.75,9.39
14,2024-11-30 20:45:54.790,0.02,-1.0,0.05,2.01,-0.24,0.49,-23.11,-40.86,13.31,0.01,-1.01,-0.11,4.21,1.1,0.79,-3.15,-34.16,10.46
15,2024-11-30 20:45:54.996,0.02,-1.0,0.05,2.14,0.0,0.43,-23.29,-40.08,12.83,0.01,-1.01,-0.11,4.21,1.04,0.67,-3.64,-33.7,9.63
16,2024-11-30 20:45:55.303,0.02,-1.0,0.05,1.83,-0.37,0.73,-23.55,-41.11,12.84,0.01,-1.01,-0.11,4.21,1.1,0.73,-3.33,-34.14,10.19
17,2024-11-30 20:45:55.509,0.02,-1.0,0.05,2.2,-0.43,0.73,-23.01,-39.98,13.51,0.01,-1.01,-0.11,4.33,0.98,0.79,-4.13,-34.55,10.0
18,2024-11-30 20:45:55.825,0.02,-1.0,0.05,2.14,-0.43,0.79,-23.4,-41.19,13.27,0.01,-1.01,-0.11,4.27,1.1,0.85,-4.15,-34.4,9.25
19,2024-11-30 20:45:56.032,0.02,-1.0,0.04,2.01,-0.37,0.61,-23.52,-40.49,12.43,0.01,-1.01,-0.11,4.39,1.04,0.73,-4.32,-34.05,9.7
20,2024-11-30 20:45:56.239,0.02,-1.0,0.05,1.95,-0.31,0.55,-22.92,-41.05,13.02,0.01,-1.01,-0.11,4.21,1.04,0.73,-3.83,-34.39,9.31
21,2024-11-30 20:45:56.547,0.03,-1.0,0.05,2.01,-0.49,0.61,-23.02,-40.6,13.48,0.01,-1.01,-0.11,4.09,1.1,0.85,-3.5,-33.81,9.96
22,2024-11-30 20:45:56.767,0.02,-1.0,0.05,2.08,-0.31,0.79,-23.12,-40.48,13.64,0.01,-1.01,-0.1,4.09,1.1,0.73,-3.83,-34.36,9.39
23,2024-11-30 20:45:57.074,0.03,-1.0,0.05,1.89,-0.12,0.73,-22.84,-40.48,13.66,0.01,-1.01,-0.11,4.27,1.22,0.79,-3.67,-34.44,8.98
24,2024-11-30 20:45:57.280,0.02,-1.0,0.05,2.08,-0.49,0.67,-22.61,-40.82,13.88,0.01,-1.01,-0.1,4.27,1.22,0.98,-3.86,-34.24,10.24
25,2024-11-30 20:45:57.587,0.02,-1.0,0.05,2.01,-0.06,0.73,-22.86,-40.89,14.1,0.01,-1.01,-0.1,4.27,1.28,0.79,-3.93,-33.75,9.18
26,2024-11-30 20:45:57.802,0.02,-1.0,0.05,2.08,-0.24,0.61,-23.5,-40.58,14.04,0.01,-1.01,-0.11,4.46,1.16,0.85,-3.49,-33.96,9.28
27,2024-11-30 20:45:58.009,0.02,-1.0,0.05,1.95,-0.24,0.55,-23.06,-39.79,13.1,0.01,-1.01,-0.1,4.27,1.04,0.85,-3.75,-34.64,10.08
28,2024-11-30 20:45:58.315,0.02,-1.0,0.05,1.95,-0.31,0.61,-23.45,-40.34,13.76,0.01,-1.01,-0.11,4.15,1.04,0.73,-3.56,-35.03,9.22
29,2024-11-30 20:45:58.521,0.02,-1.0,0.05,2.01,-0.24,0.73,-23.05,-39.97,13.12,0.01,-1.01,-0.11,4.33,1.1,0.85,-3.52,-34.62,8.76
30,2024-11-30 20:45:58.737,0.03,-1.0,0.05,2.26,-0.24,0.55,-23.39,-40.64,11.93,0.01,-1.01,-0.11,4.46,1.04,0.92,-4.38,-34.5,9.5
31,2024-11-30 20:45:59.044,0.03,-1.0,0.05,2.01,-0.24,0.73,-22.64,-39.79,13.2,0.01,-1.01,-0.11,4.21,0.98,0.85,-3.94,-34.34,9.78
32,2024-11-30 20:45:59.350,0.02,-1.0,0.05,2.14,-0.24,0.49,-22.94,-39.98,13.45,0.01,-1.01,-0.11,4.27,1.04,0.73,-3.99,-34.66,9.72
33,2024-11-30 20:45:59.557,0.02,-1.0,0.05,2.01,-0.06,0.61,-22.86,-40.34,14.06,0.01,-1.01,-0.11,4.39,1.1,0.79,-3.93,-34.86,9.84
34,2024-11-30 20:45:59.774,0.02,-1.0,0.05,2.14,-0.37,0.55,-22.75,-40.49,13.93,0.01,-1.01,-0.11,4.39,1.16,0.73,-3.75,-34.29,10.01
35,2024-11-30 20:45:59.981,0.03,-1.0,0.05,1.83,-0.31,0.61,-23.39,-40.67,13.56,0.01,-1.01,-0.1,4.15,1.28,0.79,-3.16,-34.69,9.94
36,2024-11-30 20:46:00.287,0.02,-1.0,0.05,1.95,-0.24,0.67,-23.12,-40.44,12.85,0.01,-1.01,-0.1,4.33,1.1,0.67,-4.21,-34.52,10.51
37,2024-11-30 20:46:00.594,0.03,-1.0,0.05,2.2,-0.24,0.49,-23.18,-39.99,13.98,0.01,-1.01,-0.11,4.27,1.1,0.85,-3.5,-34.67,9.99
