Timestamp,xAcel_L,yAcel_L,zAcel_L,xGyro_L,yGyro_L,zGyro_L,xMag_L,yMag_L,zMag_L,xAcel_R,yAcel_R,zAcel_R,xGyro_R,yGyro_R,zGyro_R,xMag_R,yMag_R,zMag_R
2024-11-20 12:31:22.110,-0.05,-0.31,-0.97,2.20,0.79,0.37,34.57,-14.10,-44.64,0.01,-0.83,0.56,5.25,1.40,1.04,30.19,-34.22,33.83
2024-11-20 12:31:22.316,-0.05,-0.31,-0.97,2.50,0.06,0.85,34.74,-14.90,-44.89,0.00,-0.84,0.56,5.55,1.40,0.92,30.81,-33.84,33.19
2024-11-20 12:31:22.521,-0.05,-0.31,-0.97,1.83,0.37,0.85,34.20,-14.60,-43.81,0.00,-0.83,0.56,5.55,1.46,0.98,30.70,-33.72,33.85
2024-11-20 12:31:22.827,-0.05,-0.31,-0.97,2.20,0.00,1.04,34.89,-14.42,-43.80,0.00,-0.83,0.56,5.13,1.46,1.04,30.20,-34.39,33.23
2024-11-20 12:31:23.054,-0.05,-0.31,-0.97,1.89,-0.06,1.34,34.44,-14.53,-44.95,0.00,-0.83,0.56,5.43,1.53,1.04,30.94,-33.90,32.79
2024-11-20 12:31:23.361,-0.05,-0.31,-0.97,2.69,-0.06,0.73,34.89,-14.97,-43.88,0.00,-0.83,0.56,5.25,1.46,1.04,30.75,-33.70,33.47
2024-11-20 12:31:23.566,-0.05,-0.31,-0.97,2.08,0.12,0.79,34.89,-14.47,-44.98,0.00,-0.83,0.56,5.31,1.71,1.04,30.53,-34.35,33.54
2024-11-20 12:31:23.872,-0.05,-0.31,-0.97,2.08,0.43,0.67,34.57,-14.82,-44.57,0.00,-0.83,0.56,4.94,1.59,0.98,31.29,-33.54,33.26
2024-11-20 12:31:24.082,-0.05,-0.31,-0.97,2.08,0.31,0.79,34.48,-14.83,-44.97,0.00,-0.83,0.56,5.00,1.59,1.10,30.85,-33.54,32.68
2024-11-20 12:31:24.287,-0.05,-0.31,-0.97,2.08,-0.06,1.04,34.78,-14.55,-44.37,0.00,-0.83,0.56,5.31,1.53,0.98,30.81,-34.34,33.23
2024-11-20 12:31:24.593,-0.05,-0.31,-0.97,2.20,-0.12,0.98,34.46,-14.66,-44.35,0.00,-0.84,0.56,5.37,1.71,0.98,30.60,-33.80,32.93
2024-11-20 12:31:24.799,-0.05,-0.31,-0.97,2.14,0.06,0.98,34.38,-14.83,-44.23,0.00,-0.83,0.56,5.31,1.34,1.16,30.86,-34.11,32.81
2024-11-20 12:31:25.110,-0.05,-0.31,-0.97,2.44,0.00,0.79,34.25,-14.23,-45.09,0.00,-0.83,0.56,5.25,1.83,1.10,31.03,-33.73,33.65
2024-11-20 12:31:25.316,-0.05,-0.31,-0.97,2.20,0.12,1.22,35.06,-14.16,-45.13,0.00,-0.83,0.56,5.25,1.53,0.98,30.79,-34.56,33.47
2024-11-20 12:31:25.522,-0.05,-0.31,-0.97,2.01,0.06,0.92,34.00,-14.28,-44.04,0.00,-0.83,0.56,5.43,1.46,1.04,31.07,-33.75,33.23
2024-11-20 12:31:25.828,-0.05,-0.31,-0.97,2.26,0.18,1.04,34.55,-14.36,-43.91,0.00,-0.83,0.56,5.55,1.34,0.98,30.64,-34.29,33.31
2024-11-20 12:31:26.138,-0.05,-0.31,-0.97,2.62,0.00,0.85,34.35,-14.40,-43.52,0.00,-0.83,0.56,5.07,1.65,0.98,30.58,-34.35,32.78
2024-11-20 12:31:26.344,-0.05,-0.31,-0.97,2.01,0.00,0.73,35.49,-14.56,-43.84,0.00,-0.83,0.56,5.25,1.65,1.04,30.86,-34.53,34.05
2024-11-20 12:31:26.549,-0.05,-0.31,-0.97,2.44,0.18,0.79,34.69,-13.73,-45.13,0.00,-0.83,0.56,5.62,1.65,0.92,31.08,-34.31,32.79
2024-11-20 12:31:26.855,-0.05,-0.31,-0.97,2.01,0.12,0.79,34.56,-13.98,-44.19,0.00,-0.84,0.56,5.25,1.53,0.98,30.87,-34.01,31.82
2024-11-20 12:31:27.061,-0.05,-0.31,-0.97,2.44,0.12,0.73,34.56,-14.01,-44.04,0.00,-0.83,0.56,5.13,1.65,0.79,31.34,-34.02,32.63
2024-11-20 12:31:27.371,-0.05,-0.31,-0.97,2.01,-0.43,1.40,34.68,-13.71,-43.86,0.00,-0.83,0.56,5.49,1.53,1.04,30.98,-34.11,33.80
2024-11-20 12:31:27.576,-0.05,-0.31,-0.97,1.71,0.06,1.10,34.25,-14.10,-43.69,0.00,-0.83,0.56,5.31,1.46,0.92,30.75,-33.83,32.41
2024-11-20 12:31:27.782,-0.05,-0.31,-0.97,1.89,0.12,0.98,34.06,-13.93,-43.19,0.00,-0.83,0.56,5.31,1.46,1.10,31.40,-33.80,33.51
