Timestamp,xAcel_L,yAcel_L,zAcel_L,xGyro_L,yGyro_L,zGyro_L,xMag_L,yMag_L,zMag_L,azimuth_L,xAcel_R,yAcel_R,zAcel_R,xGyro_R,yGyro_R,zGyro_R,xMag_R,yMag_R,zMag_R,azimuth_R
2024-11-10 20:50:33,-1.15,-0.06,-0.33,-7.93,-113.28,12.45,38.38,-0.04,11.56,0,0.07,0.25,-0.67,-130.25,-31.01,53.41,14.87,35.52,12.50,67
2024-11-10 20:50:34,-1.02,0.38,-1.08,5.19,174.56,-25.45,45.30,-18.07,-10.10,339,-1.38,0.24,-0.04,32.53,-1.10,0.37,19.09,34.03,8.80,60
2024-11-10 20:50:35,-1.56,0.30,-0.07,-37.11,-17.03,46.88,44.37,-7.85,-5.98,350,-1.17,0.40,-0.31,-1.95,-106.45,-27.10,16.24,34.30,10.99,64
2024-11-10 20:50:36,-1.03,0.07,0.15,-0.61,-60.24,-13.00,44.32,1.71,5.20,2,-0.60,0.11,-0.46,-7.93,79.90,62.19,13.99,34.40,12.99,67
2024-11-10 20:50:37,-0.57,0.08,-0.46,15.93,63.96,-92.96,45.70,-0.90,0.74,359,-1.23,0.33,-0.05,55.36,-51.64,-8.73,18.31,33.91,8.14,61
2024-11-10 20:50:38,-0.82,0.18,-0.08,-48.65,-109.68,37.7,41.42,-2.27,12.01,357,-2.41,0.48,0.86,34.48,56.95,32.35,15.87,34.52,10.97,65
2024-11-10 20:50:39,-0.83,0.30,-2.65,12.76,-132.63,112.1,44.24,-5.41,1.83,354,-1.03,-0.01,-0.23,56.03,106.45,44.80,14.12,32.71,13.98,66
2024-11-10 20:50:40,-1.30,0.33,-0.39,-8.18,-31.43,83.25,44.12,-8.56,-5.48,350,-0.99,-0.14,-0.31,51.57,-89.72,-10.07,18.52,33.79,10.79,61
2024-11-10 20:50:41,-0.24,-0.22,-0.59,-70.31,-71.96,14.89,42.09,-3.14,-0.24,356,-0.72,0.41,-0.20,-120.36,-50.42,4.82,15.20,33.45,13.57,65
2024-11-10 20:50:42,-0.62,0.02,-0.39,-29.30,72.14,-68.85,46.53,-3.30,3.61,356,-1.46,0.42,-1.13,-32.90,252.81,-32.84,16.87,33.17,10.83,63
2024-11-10 20:50:43,-1.05,0.05,-0.21,-19.47,206.54,24.17,41.93,-13.44,-8.39,343,-0.81,0.02,-0.31,14.16,-127.38,-19.35,15.34,33.26,9.99,65
2024-11-10 20:50:44,-0.36,0.42,-3.66,-194.27,-139.22,107,40.22,-3.26,9.27,356,-1.53,-0.05,0.43,-49.01,-109.74,36.87,13.79,33.62,9.66,67
2024-11-10 20:50:45,-0.27,0.27,-0.60,72.14,-43.09,-3.72,43.43,-1.44,-0.37,359,-1.38,0.58,-0.53,-34.36,235.90,-22.34,15.38,33.00,8.86,65
2024-11-10 20:50:46,-0.93,-0.05,0.00,-92.29,-62.44,25.33,36.19,-2.28,-4.47,357,-0.89,0.42,-0.19,-35.16,-80.38,6.10,15.95,35.18,8.08,65
2024-11-10 20:50:47,-0.70,-0.08,-0.24,35.71,-85.45,19.04,37.59,2.20,4.36,3,-0.06,0.11,-0.42,-43.70,-13.61,28.20,12.94,39.71,10.11,71
2024-11-10 20:50:48,-1.04,0.36,-1.44,-33.81,212.77,42.36,42.14,-8.73,-17.24,349,-1.15,0.54,0.60,-28.69,-41.08,-10.19,11.78,41.35,1.73,74
2024-11-10 20:50:49,-0.06,-0.37,-1.11,-71.78,-16.36,43.95,26.93,8.63,-26.61,17,-1.24,-0.73,-1.12,-226.26,-3.66,-91.80,19.25,45.37,-0.92,67
2024-11-10 20:50:50,-0.44,0.00,-0.22,63.42,-23.44,-25.21,44.21,13.85,-9.18,17,-1.65,-0.89,-0.61,-52.25,116.58,-23.25,16.38,35.77,-1.37,65
2024-11-10 20:50:51,-0.66,0.25,-0.02,-61.65,-86.30,15.20,36.22,-31.13,-17.40,320,-0.82,-0.06,-0.13,-41.26,-100.04,-8.42,22.30,22.52,-5.63,45
2024-11-10 20:50:52,-0.09,-0.15,0.43,-20.14,-13.98,6.59,52.98,-24.28,-8.51,336,0.35,0.29,-0.95,-94.24,-0.24,41.75,25.60,21.34,-4.50,39
