Timestamp,xAcel_L,yAcel_L,zAcel_L,xGyro_L,yGyro_L,zGyro_L,xMag_L,yMag_L,zMag_L,azimuth_L,xAcel_R,yAcel_R,zAcel_R,xGyro_R,yGyro_R,zGyro_R,xMag_R,yMag_R,zMag_R,azimuth_R
2024-11-10 20:48:04,-0.82,0.13,0.00,-17.58,-41.02,16.72,34.73,-21.89,-15.80,328,-3.38,0.69,1.75,117.37,12.15,-27.34,15.67,23.94,-8.01,56
2024-11-10 20:48:05,-0.75,-0.10,-0.24,27.89,101.99,-76.97,43.65,-33.50,-14.54,331,-1.16,0.14,0.02,163.02,101.14,27.04,16.22,21.95,-9.30,53
2024-11-10 20:48:06,-1.07,0.17,0.06,-52.12,-35.77,42.30,40.10,-31.12,-19.85,323,-0.92,-0.06,-0.19,18.31,-91.00,-8.00,21.37,19.97,-12.01,43
2024-11-10 20:48:07,-0.48,-0.26,-0.43,10.13,-44.13,-17.27,52.48,-20.48,-11.69,333,-0.45,0.34,-0.58,-83.68,-40.71,26.79,27.22,20.73,-4.19,37
2024-11-10 20:48:08,-0.83,-0.04,-0.21,81.54,120.36,-83.98,50.09,-32.37,-9.47,328,-1.14,0.11,-0.14,18.68,-46.14,-14.16,16.65,20.62,-8.52,51
2024-11-10 20:48:09,-0.41,1.18,-1.01,446.59,-108.64,69.0,42.38,-25.33,-19.17,330,-0.58,-0.09,-0.77,16.42,-53.71,29.30,24.82,21.84,-8.85,41
2024-11-10 20:48:10,-0.53,-0.22,-0.26,13.73,-40.71,-16.42,50.27,-20.64,-13.59,338,-1.15,0.40,-0.17,32.29,132.57,42.79,19.43,20.07,-5.43,45
2024-11-10 20:48:11,-0.97,0.36,-0.14,50.11,145.08,-99.55,41.97,-36.78,-14.37,319,-0.87,-0.11,-0.07,26.31,-50.17,4.64,17.64,17.41,-8.86,44
2024-11-10 20:48:12,-3.82,-1.33,1.65,377.87,-72.20,78.00,49.98,-25.81,-9.40,333,-0.83,0.27,-0.24,-41.26,-66.10,20.51,20.59,21.33,-5.49,46
2024-11-10 20:48:13,-1.32,0.21,-0.46,72.27,-18.37,-12.33,43.44,-19.21,-14.27,337,-1.23,0.14,-0.10,21.73,-4.88,-15.69,6.29,21.02,-6.08,73
2024-11-10 20:48:14,-0.78,0.04,-0.11,0.67,-73.30,8.24,33.80,-19.96,-4.99,330,-0.69,-0.23,-1.18,-150.21,-5.80,-22.58,14.72,22.07,-4.99,56
2024-11-10 20:48:15,-1.19,0.08,0.80,-136.17,-57.62,70.0,43.31,-21.61,-13.29,334,-0.80,0.25,-0.13,-1.83,105.22,28.81,14.45,26.48,-2.12,61
2024-11-10 20:48:16,-0.75,-0.17,-0.33,-45.10,-27.53,80.99,38.70,-22.28,-15.89,331,-0.98,-0.17,-0.22,35.40,-61.89,-8.67,13.60,26.87,-4.11,63
2024-11-10 20:48:17,-0.87,-0.01,-0.05,-2.26,-72.39,-2.26,35.33,-13.28,-9.85,340,-0.47,0.37,-0.60,-69.95,-49.38,18.74,20.04,29.19,-7.82,55
2024-11-10 20:48:18,-0.74,0.32,-0.91,-75.44,155.52,-6.23,37.06,-33.67,-21.35,318,-1.25,0.15,-0.20,47.73,0.61,-17.27,12.26,25.73,-10.01,64
2024-11-10 20:48:19,-1.20,-0.06,-0.33,-34.36,-29.17,78.49,39.42,-24.24,-19.97,329,-0.54,0.23,-0.59,-41.38,-47.12,55.79,24.04,20.74,-8.56,40
2024-11-10 20:48:20,-0.31,-0.21,-0.51,114.81,-17.03,-10.8,53.10,-20.79,-11.54,339,-0.66,-0.17,-0.19,16.05,85.14,7.20,25.84,21.13,-5.92,39
2024-11-10 20:48:21,-1.11,-0.41,-0.18,39.92,128.48,-119.0,50.90,-39.25,-4.42,323,-0.79,0.08,-0.04,34.61,-59.33,-0.55,19.81,15.62,-7.59,38
2024-11-10 20:48:22,0.23,0.53,-2.44,-144.23,-53.47,10.3,56.70,-29.97,-10.44,333,-0.36,0.54,-0.78,-65.43,-80.20,26.98,26.83,18.87,-5.33,35
2024-11-10 20:48:23,-1.38,-0.14,0.30,-54.32,-1.28,34.67,52.04,-18.55,-10.16,341,-1.70,-0.07,0.55,22.34,46.88,-1.83,17.08,21.44,-10.51,51
2024-11-10 20:48:24,-0.92,0.02,0.03,-27.71,-51.76,19.29,38.85,-20.80,-19.47,332,-0.22,-0.40,-0.75,-112.85,-47.36,22.83,23.45,22.91,-5.52,44
2024-11-10 20:48:25,-0.72,0.08,-0.27,-13.92,93.57,-115.1,46.34,-18.38,-11.34,339,-0.60,-0.21,-0.16,31.01,84.53,22.58,22.60,27.89,-5.88,50
2024-11-10 20:48:26,-1.27,-0.22,1.09,-87.04,186.95,15.99,33.63,-38.50,-24.52,312,-0.60,0.31,-0.41,55.91,-61.58,9.83,17.09,19.40,-11.56,48
2024-11-10 20:48:27,-0.41,-0.00,0.48,-85.21,-20.45,-69.3,37.73,-27.32,-21.39,325,-0.26,0.34,-0.55,50.29,-44.25,-10.19,25.43,18.73,-6.13,36
2024-11-10 20:48:28,-0.36,0.08,-0.45,98.33,7.51,-96.07,44.10,-18.09,-12.59,338,-1.65,0.85,-1.48,-138.06,177.31,-73.43,19.13,21.95,-8.51,48
2024-11-10 20:48:29,-0.85,0.05,0.08,-11.41,-100.28,43.5,41.26,-35.31,-14.42,320,-0.86,-0.06,-0.23,53.22,-113.16,17.64,20.57,19.59,-10.19,43
2024-11-10 20:48:30,-1.39,0.53,1.83,-192.20,-150.21,61.,44.76,-18.41,-13.76,338,-0.12,0.20,-0.53,-78.61,-32.17,38.76,23.79,27.11,-4.02,48
2024-11-10 20:48:31,-1.49,0.26,-0.01,-13.79,-48.83,-21.0,49.21,-17.40,-14.20,341,-2.04,-0.36,0.10,31.98,50.42,-2.38,13.16,24.22,-11.06,61
2024-11-10 20:48:32,-0.90,-0.11,0.05,3.30,-93.32,29.24,33.86,-22.19,-15.94,327,-1.28,0.38,-0.20,47.55,-119.81,22.95,24.69,21.84,-8.00,41
2024-11-10 20:48:33,-0.67,0.14,-0.18,-52.19,-95.46,6.35,40.98,-19.06,-8.19,336,-0.67,0.06,-0.37,29.11,73.30,45.65,25.35,23.93,-6.63,43
2024-11-10 20:48:34,-1.56,-0.08,0.72,-30.64,229.19,28.75,36.45,-39.36,-20.52,313,-0.83,0.07,-0.50,17.82,-86.61,-16.05,18.35,19.21,-10.96,46
2024-11-10 20:48:35,-0.64,0.32,0.36,24.66,-32.41,-12.08,44.53,-19.76,-14.97,329,-0.81,0.42,-0.17,-155.40,-37.66,18.25,26.37,22.30,-5.55,40
2024-11-10 20:48:36,-0.34,0.00,-0.49,134.83,-4.94,-27.34,49.26,-17.98,-11.77,340,-1.42,0.11,0.44,82.70,107.97,23.93,14.67,25.76,-9.83,60
2024-11-10 20:48:37,-0.78,0.31,-0.04,34.12,-106.45,57.56,40.25,-15.50,-5.97,331,-1.03,-0.02,-0.26,53.53,-138.24,17.21,19.96,28.92,-5.71,55
2024-11-10 20:48:38,-2.86,0.05,1.24,437.44,-109.13,99.0,42.72,-11.22,-7.86,346,-0.26,0.13,-0.44,57.07,51.21,55.05,21.30,35.13,5.87,58
2024-11-10 20:48:39,-1.36,0.12,-0.23,-20.87,-40.83,23.38,46.11,-18.55,-16.08,339,-1.34,-0.10,-0.19,3.11,-79.41,-24.29,21.24,33.01,2.50,57
2024-11-10 20:48:40,-0.89,0.02,0.03,-13.98,-72.51,1.40,40.15,-5.19,-5.76,353,-3.69,0.54,3.21,551.15,-100.04,-10.86,20.08,33.75,7.70,59
2024-11-10 20:48:41,-0.82,0.16,-0.27,41.08,90.45,-132.81,43.98,-9.64,-2.47,348,-1.28,-0.16,0.36,96.44,97.41,-97.05,18.71,33.96,7.56,61
