Timestamp,xAcel_L,yAcel_L,zAcel_L,xGyro_L,yGyro_L,zGyro_L,xMag_L,yMag_L,zMag_L,azimuth_L,xAcel_R,yAcel_R,zAcel_R,xGyro_R,yGyro_R,zGyro_R,xMag_R,yMag_R,zMag_R,azimuth_R
2024-11-10 20:56:00,-1.39,-0.31,0.72,-102.72,76.42,16.30,50.44,-33.74,8.56,327,-0.72,0.20,-0.15,-35.52,-81.05,-10.07,23.41,12.72,20.78,28
2024-11-10 20:56:01,-2.91,-0.54,4.00,-119.02,175.05,-53.,46.34,-17.48,20.10,340,-0.30,0.22,-0.48,-51.64,24.41,43.27,19.14,10.79,21.68,29
2024-11-10 20:56:02,-0.80,0.13,-0.39,6.23,60.00,-120.79,44.36,-18.18,21.91,338,-1.26,0.36,-0.07,55.48,-15.99,-16.91,29.10,12.88,14.73,23
2024-11-10 20:56:03,-0.98,0.35,-0.07,-35.52,-104.68,37.6,48.66,-19.48,23.44,324,-1.01,0.24,-0.22,-34.06,-72.94,-26.67,22.36,13.61,21.72,31
2024-11-10 20:56:04,-0.78,-0.38,-1.07,152.40,2.26,29.91,44.74,-18.91,20.18,338,-0.74,-0.04,-0.27,32.47,78.00,37.96,20.41,11.05,21.18,28
2024-11-10 20:56:05,-1.23,-0.18,-0.13,-39.06,-33.69,35.52,55.26,-25.39,12.16,336,-0.85,0.10,-0.45,13.24,-84.11,-15.08,29.36,11.41,17.11,21
2024-11-10 20:56:06,-0.77,-0.04,-0.04,-24.54,-88.81,34.61,49.35,-21.37,19.92,337,-0.53,-0.01,-0.70,44.19,-31.13,10.25,20.09,12.61,23.69,32
2024-11-10 20:56:07,-1.24,-0.31,-0.21,27.40,107.48,-103.0,50.35,-27.20,24.65,332,-1.22,0.48,-0.62,-11.84,234.86,-30.82,31.24,12.41,15.50,21
2024-11-10 20:56:08,-1.63,-0.24,0.62,-107.60,49.56,13.49,52.49,-31.31,8.40,330,-0.82,0.21,-0.15,-58.04,-95.95,-33.26,26.86,15.17,21.78,29
2024-11-10 20:56:09,-2.15,-0.42,2.56,48.16,131.47,-43.27,46.58,-11.87,23.56,346,-0.28,0.18,-0.59,-70.37,23.25,64.82,22.78,16.11,26.57,35
