Timestamp,xAcel_L,yAcel_L,zAcel_L,xGyro_L,yGyro_L,zGyro_L,xMag_L,yMag_L,zMag_L,azimuth_L,xAcel_R,yAcel_R,zAcel_R,xGyro_R,yGyro_R,zGyro_R,xMag_R,yMag_R,zMag_R,azimuth_R
2024-11-10 20:51:46,-1.32,-0.38,0.65,-99.49,-2.38,58.90,32.13,-31.32,-21.97,316,-1.52,0.06,0.25,-41.87,-114.69,-6.59,15.81,20.36,-11.21,52
2024-11-10 20:51:47,-1.19,0.15,0.41,-34.24,-79.71,36.44,36.39,-25.81,-18.29,325,-0.27,-0.77,-1.83,151.43,-48.10,-9.22,23.80,18.87,-6.10,38
2024-11-10 20:51:48,-0.02,-0.11,-0.75,111.51,-5.98,-22.40,53.70,-18.71,-9.03,341,-0.49,-0.34,-0.26,67.14,72.14,43.46,24.41,20.92,-6.24,40
2024-11-10 20:51:49,-0.55,0.10,-0.48,6.84,91.61,-96.37,52.39,-22.96,-6.98,337,-1.13,0.07,0.65,32.90,-93.69,12.94,15.65,18.18,-10.39,49
2024-11-10 20:51:50,-1.59,0.38,-0.47,-43.52,-127.50,61.0,54.20,-22.33,-9.40,338,-3.34,0.36,4.00,421.20,-196.84,-5.25,24.68,20.76,-7.59,40
2024-11-10 20:51:51,-1.37,3.70,3.11,-343.81,-255.68,148,51.75,-17.36,-12.34,342,-0.52,-0.43,-0.26,48.22,97.17,46.69,23.46,24.67,-6.41,46
2024-11-10 20:51:52,-1.34,-0.36,0.62,-48.89,1.34,31.49,32.86,-25.73,-20.75,322,-1.37,0.24,0.26,0.55,-105.71,2.62,14.67,19.86,-10.07,53
2024-11-10 20:51:53,-1.10,-0.04,0.43,-12.27,-81.97,29.72,37.54,-22.22,-19.25,330,-1.08,0.72,-0.44,-2.99,-92.65,40.89,22.97,21.06,-7.90,42
2024-11-10 20:51:54,0.01,-0.16,-0.73,110.72,-10.68,-22.8,51.64,-15.78,-11.27,344,-0.48,-0.37,-0.29,72.88,74.04,25.21,22.42,24.37,-5.38,47
2024-11-10 20:51:55,-0.53,0.00,-0.35,-35.77,81.24,-110.3,49.73,-26.49,-9.34,332,-1.32,0.58,0.37,41.38,-61.71,-1.10,13.92,20.83,-8.61,56
2024-11-10 20:51:56,-0.80,0.13,-0.10,-23.99,-129.39,34.7,42.55,-18.29,-8.13,337,-1.93,0.49,-0.38,57.56,-151.43,-6.59,20.10,20.31,-9.16,45
2024-11-10 20:51:57,0.19,-0.98,-1.48,-125.85,-118.71,-14,61.52,-29.66,-20.36,335,-0.38,0.14,-0.50,-2.50,65.55,64.70,22.79,25.45,-6.09,48
2024-11-10 20:51:58,-1.50,-0.14,1.18,-89.42,198.73,33.14,31.59,-30.74,-22.80,316,-1.27,0.43,0.22,55.30,-26.73,-11.90,12.96,20.80,-11.46,58
2024-11-10 20:51:59,-1.45,0.11,0.27,-81.85,-61.46,70.07,33.80,-23.71,-19.95,325,-1.98,0.56,-0.57,1.40,-146.06,-6.47,21.36,19.38,-8.58,42
2024-11-10 20:52:00,-0.01,-0.33,-0.35,94.18,-18.01,6.65,51.82,-13.27,-11.15,346,-0.36,0.05,-0.45,-16.05,53.65,69.40,23.66,24.06,-6.24,45
2024-11-10 20:52:01,-0.50,0.03,-0.41,-12.39,75.13,-66.71,46.40,-25.70,-8.67,332,-1.22,0.15,0.51,31.49,-78.61,11.84,14.25,19.53,-10.19,53
2024-11-10 20:52:02,-1.18,-0.30,-0.20,1.77,-124.94,88.38,42.00,-21.06,-8.28,334,-0.68,-0.16,-1.78,75.68,-49.19,-73.73,23.61,19.54,-6.75,39
2024-11-10 20:52:03,-0.17,1.42,-2.77,558.41,-177.37,65.5,58.02,-21.42,-13.66,340,-0.45,0.01,-0.49,9.34,58.23,81.12,23.94,22.81,-7.02,43
2024-11-10 20:52:04,-1.70,-0.33,0.78,-66.89,70.01,39.79,35.66,-28.85,-18.66,322,-1.12,-0.09,0.55,35.77,-87.46,14.89,15.43,19.48,-10.75,51
2024-11-10 20:52:05,-1.33,0.06,0.26,-29.11,-74.71,51.39,34.81,-19.57,-19.57,331,-0.15,-0.72,-0.68,-49.80,-57.62,79.16,23.93,20.84,-7.74,41
2024-11-10 20:52:06,0.03,-0.31,-0.74,93.20,-23.44,-13.79,53.44,-13.90,-10.42,346,-0.63,-0.44,-0.20,34.00,105.35,22.77,22.66,24.71,-7.08,47
2024-11-10 20:52:07,-0.72,0.19,-0.34,-3.54,98.75,-98.51,54.02,-21.55,-8.85,339,-1.38,-0.12,0.41,-12.94,-91.80,7.69,14.84,21.35,-10.93,55
2024-11-10 20:52:08,-1.62,0.06,-0.24,-37.41,-99.12,10.80,49.79,-16.31,-5.69,342,-0.08,-0.08,-0.95,150.70,-5.74,-11.60,24.32,21.42,-6.75,41
2024-11-10 20:52:09,-1.38,-0.08,-3.14,93.14,-86.79,48.52,52.50,-17.53,-10.66,342,-0.77,-0.16,-0.19,46.69,95.09,37.60,21.74,23.50,-6.18,47
2024-11-10 20:52:10,-1.53,0.41,-0.13,-7.39,-34.12,47.73,32.67,-25.29,-20.48,323,-0.54,-0.19,-0.35,116.33,-89.36,0.79,17.71,18.60,-9.11,46
2024-11-10 20:52:11,-0.79,0.23,-0.04,-84.35,-90.64,13.24,41.83,-22.86,-19.04,332,-0.31,-0.05,-1.20,90.27,-37.23,-13.31,23.95,21.03,-7.03,41
2024-11-10 20:52:12,-0.49,0.11,-0.35,-35.77,71.29,-53.77,50.54,-21.18,-9.84,338,-0.48,0.05,-0.44,48.95,59.57,69.82,23.49,24.04,-6.51,45
2024-11-10 20:52:13,-3.35,-1.51,0.24,26.18,132.26,-84.53,41.56,-31.04,-17.19,324,-1.09,0.22,0.75,29.72,-64.76,12.51,13.55,18.97,-10.00,54
2024-11-10 20:52:14,-0.47,1.33,-0.79,341.06,-119.20,32.8,36.98,-28.56,-20.40,323,-0.95,0.38,-0.31,6.59,-128.23,35.89,23.02,18.98,-7.25,39
2024-11-10 20:52:15,-0.40,0.23,0.28,-74.04,-3.48,-56.82,50.04,-19.91,-11.43,339,-0.59,-0.09,-0.29,52.19,69.03,48.03,23.90,24.84,-5.63,46
2024-11-10 20:52:16,-1.03,-0.10,0.48,-37.54,-86.61,20.08,55.16,-17.55,-9.58,343,-1.51,0.09,0.08,16.91,0.98,-1.40,13.01,21.95,-10.90,59
2024-11-10 20:52:17,-0.75,0.13,-0.25,-26.12,-99.49,21.48,42.75,-19.47,-15.25,336,-1.08,0.87,-0.40,36.44,-117.19,-14.59,22.92,19.31,-7.42,40
2024-11-10 20:52:18,-0.61,0.33,-0.33,-60.30,-106.02,27.3,51.22,-21.69,-8.18,338,-0.11,0.30,-0.58,-99.73,-2.87,41.93,25.42,23.61,-5.03,42
2024-11-10 20:52:19,-0.99,0.87,-1.09,-27.83,201.48,21.67,43.18,-35.00,-15.17,321,-1.43,0.12,0.08,20.08,-4.15,-3.72,12.99,19.92,-11.39,56
2024-11-10 20:52:20,-1.48,0.25,-0.07,-15.50,-2.01,53.71,40.89,-25.43,-17.44,329,-1.28,0.46,-0.27,-44.43,-70.31,-6.23,21.94,18.03,-7.63,39
2024-11-10 20:52:21,-1.13,0.43,0.80,24.17,-29.05,-24.60,54.70,-19.59,-10.17,341,-0.59,-0.16,-0.32,50.17,87.40,44.68,23.83,18.55,-6.62,37
2024-11-10 20:52:22,-0.44,0.06,-0.38,-14.89,56.58,-27.28,52.61,-27.19,-7.97,333,-1.14,0.53,-0.04,41.26,-16.30,-9.22,15.72,12.93,-9.88,39
2024-11-10 20:52:23,-0.76,0.34,-0.01,-44.49,-114.75,6.65,54.49,-30.81,-5.00,331,-0.51,0.12,-1.23,46.08,-79.35,35.28,25.15,8.59,-3.67,18
2024-11-10 20:52:24,-4.00,1.03,4.00,-675.72,182.98,-79.,50.89,-31.41,-8.52,329,-0.52,-0.32,-0.29,46.33,98.94,35.95,25.73,11.90,-5.79,24
2024-11-10 20:52:25,-1.51,-0.11,0.60,-70.43,2.08,15.99,36.35,-40.05,-14.43,313,-1.45,0.05,-0.14,-50.35,-110.66,-20.57,19.49,7.26,-9.07,20
2024-11-10 20:52:26,-0.93,-0.10,-0.35,-34.61,-86.30,35.22,42.40,-34.01,-10.31,322,-2.05,0.22,0.58,282.29,-111.94,-109.50,25.38,4.33,-0.93,9
2024-11-10 20:52:27,-0.42,0.12,-0.45,11.90,52.00,-40.04,50.43,-34.95,2.21,326,-1.41,0.15,-0.02,67.69,141.85,-21.85,26.51,4.77,-1.81,10
2024-11-10 20:52:28,-2.74,-1.66,0.36,60.91,138.55,-41.81,39.76,-41.49,0.79,314,-0.64,-0.17,-0.12,15.44,-80.75,-10.68,24.73,1.49,2.40,3
2024-11-10 20:52:29,-3.20,0.48,-1.74,515.08,-148.74,52.6,54.11,-36.89,10.33,326,-0.69,-0.12,0.89,-119.75,60.12,39.37,24.27,-0.21,6.76,0
2024-11-10 20:52:30,-3.85,0.02,4.00,-290.77,80.75,-31.8,47.62,-32.64,5.87,326,-1.49,0.19,-1.47,-208.19,235.53,-83.25,25.60,0.82,0.77,1
2024-11-10 20:52:31,-1.12,-0.17,-0.39,2.69,-93.26,27.71,46.62,-36.89,0.78,322,-0.61,0.28,-0.21,-11.29,-98.27,-15.50,24.16,-0.78,5.97,359
2024-11-10 20:52:32,-0.86,0.00,-0.03,-8.61,-105.16,8.30,44.73,-35.51,9.90,322,-2.47,0.26,2.86,77.88,-25.09,90.33,24.38,-0.83,7.08,359
2024-11-10 20:52:33,-0.97,-0.10,-0.22,22.89,108.46,-130.5,44.58,-43.77,9.91,316,-1.28,0.05,0.25,38.82,178.65,-2.08,24.32,-0.17,-0.48,0
2024-11-10 20:52:34,-1.31,-0.09,0.82,-40.34,215.33,27.16,40.06,-43.30,-1.29,313,-0.82,0.07,-0.17,6.10,-128.78,-1.40,24.43,-1.88,6.20,356
2024-11-10 20:52:35,-0.35,0.27,-0.03,16.97,-73.49,17.82,44.57,-36.95,8.79,321,-0.05,0.37,-0.84,-90.58,-42.11,25.76,24.19,-1.28,6.73,357
