Timestamp,xAcel_L,yAcel_L,zAcel_L,xGyro_L,yGyro_L,zGyro_L,xMag_L,yMag_L,zMag_L,xAcel_R,yAcel_R,zAcel_R,xGyro_R,yGyro_R,zGyro_R,xMag_R,yMag_R,zMag_R
2024-11-27 22:34:29.603,-1.40,-0.37,-0.12,-60.97,-84.35,-45.4,6.59,20.01,1.94,-1.19,0.18,-0.47,-78.06,6.65,-26.43,26.59,26.23,13.70
2024-11-27 22:34:29.809,-1.01,0.25,-0.18,5.68,-20.69,-16.72,2.45,21.06,-1.31,-0.84,0.23,-0.14,-37.35,1.71,34.48,25.56,28.61,7.45
2024-11-27 22:34:30.120,-1.07,0.24,-0.19,-14.16,-21.00,11.78,0.78,21.39,-1.31,-0.90,0.24,-0.26,-34.30,-22.58,0.55,27.28,25.48,3.93
2024-11-27 22:34:30.326,-1.36,0.66,-1.00,17.64,164.92,19.10,5.32,21.17,0.32,-0.98,-0.05,-0.24,34.24,-44.98,23.86,26.46,27.31,4.35
2024-11-27 22:34:30.632,-0.55,-0.51,-0.10,-79.04,-40.10,-27.3,6.54,20.51,7.17,-1.08,-0.32,-0.13,76.17,-35.22,23.25,27.88,26.32,3.49
2024-11-27 22:34:30.838,-1.80,-0.42,0.71,19.41,-59.27,0.00,6.98,20.61,5.26,-1.45,-0.23,-0.98,161.25,111.27,-27.77,28.58,26.92,10.86
2024-11-27 22:34:31.044,-0.98,0.07,-0.08,-21.36,-67.44,-21.6,5.35,21.96,3.86,-0.90,0.16,0.34,29.97,38.02,6.47,26.42,27.66,12.71
2024-11-27 22:34:31.354,-1.17,0.12,0.02,-44.49,6.96,5.00,5.04,22.01,1.39,-1.05,-0.04,-0.36,-28.26,22.28,43.33,27.17,27.69,7.90
2024-11-27 22:34:31.559,-1.06,-0.04,-0.30,15.01,77.45,-16.60,7.53,20.83,2.66,-1.02,-0.28,-0.17,5.80,-61.28,15.62,29.27,27.43,7.80
2024-11-27 22:34:31.865,-0.82,-0.16,0.39,-31.92,-26.98,-32.4,6.49,21.01,6.57,-1.15,-0.23,-0.03,48.52,-16.85,-3.91,29.82,26.23,5.31
2024-11-27 22:34:32.074,-0.95,0.22,-0.23,-10.13,-38.21,-23.8,6.54,21.31,3.61,-0.99,0.22,-0.20,-58.04,137.02,16.85,28.34,27.48,13.42
