Timestamp,xAcel_L,yAcel_L,zAcel_L,xGyro_L,yGyro_L,zGyro_L,xMag_L,yMag_L,zMag_L,xAcel_R,yAcel_R,zAcel_R,xGyro_R,yGyro_R,zGyro_R,xMag_R,yMag_R,zMag_R
2024-11-27 22:21:30.833,-1.04,0.10,-0.24,-32.17,-4.70,12.45,9.78,18.46,0.66,-1.19,0.13,0.02,72.45,21.79,36.68,32.54,24.27,11.79
2024-11-27 22:21:31.039,-1.16,-0.01,-0.36,7.26,97.84,-0.12,11.66,15.71,5.63,-0.93,-0.19,-0.24,42.24,-58.35,16.48,32.48,22.84,11.10
2024-11-27 22:21:31.345,-0.70,-0.26,0.18,51.27,-28.26,-31.31,10.05,16.54,11.68,-0.94,-0.10,-0.12,40.47,-35.28,10.44,34.50,21.77,8.75
2024-11-27 22:21:31.556,-1.17,0.08,-0.16,16.11,-7.87,-5.07,9.95,17.63,9.78,-1.35,-0.43,-0.30,41.20,110.17,-43.88,34.48,22.51,12.16
2024-11-27 22:21:31.862,-0.93,0.02,-0.01,-21.91,-56.52,-10.5,10.05,18.76,4.44,-1.03,0.23,0.50,-14.59,56.34,24.84,29.91,24.38,14.20
2024-11-27 22:21:32.068,-0.95,0.11,-0.27,-9.16,-31.80,-2.87,10.58,18.84,3.28,-0.89,-0.02,0.04,-113.95,-23.44,-4.64,31.69,23.84,12.56
2024-11-27 22:21:32.374,-1.39,0.07,-0.73,-51.45,130.80,13.18,11.39,17.81,2.15,-1.04,-0.02,-0.04,13.85,-37.54,19.96,31.04,24.50,7.17
2024-11-27 22:21:32.588,-0.67,-0.10,-0.16,-16.11,26.98,-23.86,9.92,16.64,6.79,-0.96,0.02,-0.00,17.64,-32.17,12.02,31.47,24.21,4.97
2024-11-27 22:21:32.793,-0.94,-0.20,0.16,57.43,-76.11,8.24,8.73,17.32,5.94,-1.33,0.37,0.69,18.19,124.76,-18.43,30.86,23.93,7.71
2024-11-27 22:21:33.100,-1.06,0.19,-0.12,-37.60,-28.26,-44.4,8.68,17.27,2.49,-0.79,-0.21,-0.45,-44.37,40.41,29.91,29.09,23.74,12.30
