Timestamp,xAcel_L,yAcel_L,zAcel_L,xGyro_L,yGyro_L,zGyro_L,xMag_L,yMag_L,zMag_L,azimuth_L,xAcel_R,yAcel_R,zAcel_R,xGyro_R,yGyro_R,zGyro_R,xMag_R,yMag_R,zMag_R,azimuth_R
2024-11-10 20:53:00,-1.24,-0.11,0.30,-8.30,-62.74,28.38,45.61,-38.78,-2.06,320,-0.85,0.21,-0.17,-49.68,-105.59,-20.81,23.47,-0.52,5.43,359
2024-11-10 20:53:01,-0.01,-0.19,-0.62,103.09,-12.08,-9.52,45.76,-37.35,3.61,321,-1.20,0.37,0.19,-42.11,-71.66,50.11,24.82,0.82,6.41,1
2024-11-10 20:53:02,-0.80,0.19,-0.27,13.49,104.55,-102.6,45.25,-44.26,9.90,316,-1.16,0.26,-0.15,-29.60,237.12,-23.80,23.14,1.28,-2.93,3
2024-11-10 20:53:03,-1.55,0.98,-1.80,-64.51,239.20,46.63,38.68,-47.80,-1.90,309,-0.83,-0.09,-0.24,-1.34,-120.91,1.10,23.66,0.70,2.31,1
2024-11-10 20:53:04,-0.51,-0.02,-1.98,168.52,-26.86,11.66,46.70,-35.22,4.16,323,-0.80,0.51,-0.59,-143.55,-78.80,27.95,25.23,1.90,4.28,4
2024-11-10 20:53:05,-1.19,-0.05,0.52,-69.40,-47.61,-38.9,49.56,-33.17,5.11,327,-1.62,0.26,-1.25,-167.66,233.70,-93.93,27.65,1.90,1.49,3
2024-11-10 20:53:06,-0.89,-0.13,-0.28,-11.84,-88.07,22.89,47.58,-37.87,-1.14,322,-0.69,0.03,-0.15,-43.58,-115.30,-16.91,25.15,-1.37,3.64,357
2024-11-10 20:53:07,-0.78,0.43,-0.01,2.99,-112.85,18.25,47.20,-37.90,8.89,322,-2.77,0.54,2.83,104.86,119.93,4.03,23.46,-0.61,5.88,359
2024-11-10 20:53:08,-1.75,-0.59,-0.24,-5.86,139.04,-118.8,40.67,-48.85,4.94,310,-1.27,0.43,-1.00,-47.91,258.30,-67.20,25.04,2.32,-1.11,5
2024-11-10 20:53:09,-1.69,-0.25,0.75,-77.58,66.89,34.06,45.01,-43.12,-3.64,317,-0.80,-0.02,-0.19,-36.87,-113.04,-24.60,24.00,-0.38,4.36,0
