Timestamp,xAcel_L,yAcel_L,zAcel_L,xGyro_L,yGyro_L,zGyro_L,xMag_L,yMag_L,zMag_L,xAcel_R,yAcel_R,zAcel_R,xGyro_R,yGyro_R,zGyro_R,xMag_R,yMag_R,zMag_R
2024-11-15 18:01:57.146,0.00,-0.02,-1.02,2.20,0.12,0.79,4.53,-12.66,-12.12,-0.00,0.14,0.97,5.31,1.59,1.10,34.95,23.40,20.59
2024-11-15 18:01:57.351,0.00,-0.02,-1.02,2.26,0.00,0.85,4.54,-12.29,-13.09,0.00,0.14,0.96,6.59,1.59,1.10,34.56,23.28,20.08
2024-11-15 18:01:57.556,0.00,-0.02,-1.02,2.08,0.12,0.85,4.79,-12.29,-12.22,0.00,0.14,0.97,5.62,1.46,1.04,34.91,23.79,19.91
2024-11-15 18:01:57.862,0.00,-0.02,-1.02,2.32,-0.06,0.79,5.02,-12.54,-12.49,-0.00,0.14,0.97,5.31,1.59,1.04,34.59,22.83,20.30
2024-11-15 18:01:58.069,0.00,-0.02,-1.02,2.08,0.06,0.55,5.03,-13.09,-12.68,-0.00,0.14,0.97,5.43,1.53,1.04,34.90,23.41,19.21
2024-11-15 18:01:58.375,0.00,-0.02,-1.02,2.01,0.00,0.85,4.47,-12.07,-12.34,0.00,0.14,0.97,5.55,1.59,1.16,34.40,23.01,19.98
2024-11-15 18:01:58.580,0.00,-0.02,-1.02,2.01,-0.18,0.92,4.69,-12.65,-11.88,-0.00,0.14,0.97,4.52,1.46,1.16,34.46,24.08,19.67
2024-11-15 18:01:58.886,0.00,-0.02,-1.02,2.08,-0.12,0.85,4.26,-13.00,-12.52,-0.00,0.14,0.97,5.13,1.40,1.04,34.99,23.60,19.74
2024-11-15 18:01:59.094,0.00,-0.02,-1.02,2.50,0.06,0.73,5.11,-13.17,-12.59,-0.00,0.14,0.97,4.21,1.59,1.10,34.53,23.25,19.65
2024-11-15 18:01:59.400,0.00,-0.02,-1.02,1.95,0.12,0.98,4.37,-13.01,-12.55,0.00,0.14,0.97,6.16,1.40,1.10,34.97,23.33,20.70
2024-11-15 18:01:59.605,0.00,-0.02,-1.02,2.26,-0.12,0.85,4.39,-12.55,-11.91,0.00,0.14,0.97,5.92,1.59,0.92,34.38,23.25,19.49
2024-11-15 18:01:59.811,0.00,-0.02,-1.02,2.26,0.06,0.67,4.10,-12.88,-11.27,-0.00,0.14,0.97,5.49,1.46,1.10,34.56,22.97,19.58
2024-11-15 18:02:00.117,0.00,-0.02,-1.02,2.50,-0.06,0.85,4.69,-13.64,-13.12,-0.00,0.14,0.97,6.16,1.53,0.98,34.64,23.41,19.18
2024-11-15 18:02:00.322,0.00,-0.02,-1.02,2.14,0.06,0.67,4.31,-12.60,-12.74,-0.00,0.14,0.97,4.82,1.53,1.16,35.22,23.13,19.45
2024-11-15 18:02:00.628,0.00,-0.02,-1.02,1.95,0.18,0.79,4.85,-12.87,-12.61,0.00,0.14,0.97,5.00,1.65,1.04,34.73,23.18,19.91
2024-11-15 18:02:00.834,0.00,-0.02,-1.02,2.14,-0.06,0.92,4.61,-12.45,-12.35,0.00,0.13,0.97,5.31,1.53,0.92,34.66,23.65,20.20
2024-11-15 18:02:01.140,0.00,-0.02,-1.02,2.20,-0.12,0.92,4.19,-12.72,-13.09,-0.00,0.13,0.97,5.13,1.40,1.10,35.01,22.80,20.76
2024-11-15 18:02:01.345,0.00,-0.02,-1.02,2.32,-0.18,0.79,4.16,-12.68,-13.26,-0.00,0.13,0.97,5.25,1.59,1.22,34.73,23.24,20.63
2024-11-15 18:02:01.552,0.00,-0.02,-1.02,2.32,0.12,0.61,3.94,-12.38,-13.27,-0.00,0.13,0.97,4.76,1.65,1.10,34.89,23.33,21.36
2024-11-15 18:02:01.858,0.00,-0.02,-1.02,2.01,0.18,0.79,4.21,-12.50,-12.87,-0.00,0.14,0.97,5.13,1.53,1.04,34.80,22.86,19.34
2024-11-15 18:02:02.169,0.00,-0.02,-1.02,2.20,0.06,0.85,4.43,-12.43,-12.35,-0.00,0.14,0.97,5.37,1.46,1.16,35.11,23.25,20.18
2024-11-15 18:02:02.375,0.00,-0.02,-1.02,2.20,0.06,0.79,3.74,-12.08,-12.52,-0.00,0.14,0.97,5.00,1.59,1.10,34.99,22.99,18.70
2024-11-15 18:02:02.681,0.00,-0.02,-1.02,2.26,0.00,0.79,4.86,-12.83,-13.59,-0.00,0.14,0.97,5.55,1.53,0.98,35.07,23.19,20.37
2024-11-15 18:02:02.886,0.00,-0.02,-1.02,2.14,0.12,0.79,4.86,-12.27,-13.31,0.00,0.13,0.97,5.25,1.65,1.10,34.53,23.46,20.08
