Timestamp,xAcel_L,yAcel_L,zAcel_L,xGyro_L,yGyro_L,zGyro_L,xMag_L,yMag_L,zMag_L,xAcel_R,yAcel_R,zAcel_R,xGyro_R,yGyro_R,zGyro_R,xMag_R,yMag_R,zMag_R
2024-11-30 20:43:14.498,0.03,-1.00,0.05,2.08,-0.24,0.73,-23.28,-41.15,14.04,0.01,-1.01,-0.11,4.15,1.16,0.92,-3.98,-35.06,9.61
2024-11-30 20:43:14.805,0.03,-1.00,0.05,1.95,-0.18,0.79,-23.02,-40.87,14.29,0.01,-1.01,-0.11,3.91,1.10,0.79,-3.48,-35.12,9.03
2024-11-30 20:43:15.011,0.02,-1.00,0.05,2.14,-0.31,0.73,-23.05,-41.03,13.46,0.01,-1.01,-0.11,3.97,1.16,0.67,-4.28,-34.30,8.40
2024-11-30 20:43:15.227,0.02,-1.00,0.05,2.01,-0.18,0.79,-22.57,-40.62,13.67,0.01,-1.01,-0.11,4.03,0.98,0.67,-3.67,-35.01,8.94
2024-11-30 20:43:15.533,0.03,-1.00,0.05,2.01,-0.24,0.61,-23.32,-40.98,13.24,0.01,-1.01,-0.11,3.91,0.92,0.73,-3.85,-35.16,8.26
2024-11-30 20:43:15.740,0.02,-1.00,0.05,2.20,-0.12,0.43,-23.28,-40.84,14.48,0.01,-1.01,-0.11,3.97,1.10,0.98,-3.60,-34.63,8.56
2024-11-30 20:43:16.046,0.03,-1.00,0.05,2.14,-0.31,0.61,-23.02,-40.83,13.84,0.01,-1.01,-0.11,3.91,0.92,0.85,-4.39,-34.95,8.87
2024-11-30 20:43:16.261,0.03,-1.00,0.05,1.95,-0.18,0.79,-23.05,-40.80,14.07,0.01,-1.01,-0.11,3.97,0.85,0.92,-4.27,-35.25,8.56
2024-11-30 20:43:16.468,0.02,-1.00,0.05,2.14,-0.24,0.61,-22.77,-41.27,13.56,0.01,-1.01,-0.11,3.97,0.98,0.73,-3.78,-34.85,11.51
2024-11-30 20:43:16.774,0.03,-1.01,0.05,2.01,-0.12,0.61,-23.05,-40.97,14.26,0.01,-1.01,-0.11,4.09,0.98,0.73,-3.50,-35.08,9.56
2024-11-30 20:43:16.980,0.02,-1.00,0.05,1.95,-0.24,0.67,-22.97,-40.95,13.88,0.01,-1.01,-0.11,3.97,1.10,0.79,-3.97,-35.31,9.36
